Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
"C1, C2",C_0402,2,100nF,C1525
C4,C_1206,1,10uF,C13585
"D1, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,8,WS2812B,C22461793
"D10, D2",D_SOD-323,2,1N4148WS,C2128
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
"Q1, Q2, Q3, Q4",Q_SOT-23,4,S8050,C364312
"R1, R12, R13, R2",R_0402,4,10kΩ,C25744
R3,R_0402,1,100kΩ,C25741
"R4, R5",R_0402,2,5.1kΩ,C25905
"R6, R7, R8",R_0402,3,1.2kΩ,C25862
S1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,"Tactile Button, 160gf",C318884
U1,MODULE_ESP32-WROOM-32D-N4,1,ESP32-WROOM-32D-N4,C473012
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U8,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,C968586
